,note_name,start_time,duration,velocity,tempo
0,G#4,0.01,49/100,96,124
1,B-4,0.51,49/100,96,124
2,B4,1.01,49/100,96,124
3,G#4,1.51,49/100,96,124
4,E-5,2.01,99/100,96,124
5,E4,2.01,199/100,68,124
6,E3,2.01,199/100,68,124
7,B4,2.51,99/100,64,124
8,B3,2.51,149/100,80,124
9,F#4,3.01,99/100,96,124
10,G#4,3.51,49/100,96,124
11,F#4,4.0,2.0,96,124
12,G#4,4.0,1.0,96,124
13,B3,4.0,1.5,80,124
14,E4,4.0,2.0,68,124
15,E3,4.0,2.0,68,124
16,E-5,5.01,99/100,96,124
17,C#5,6.01,199/100,96,124
18,F#4,6.01,199/100,80,124
19,F#3,6.01,199/100,80,124
20,C#4,6.51,149/100,88,124
21,F#4,7.01,99/100,96,124
22,G#4,7.51,49/100,96,124
23,C#5,8.0,2.0,96,124
24,F#4,8.0,3.5,96,124
25,G#4,8.0,1.0,96,124
26,C#4,8.0,1.5,88,124
27,F#4,8.0,2.0,80,124
28,F#3,8.0,2.0,80,124
29,B-4,9.01,299/100,104,124
30,B-3,10.01,199/100,96,124
31,F4,10.51,149/100,104,124
32,C5,11.01,99/100,96,124
33,C#5,11.51,49/100,88,124
34,B-4,12.0,3.0,104,124
35,C5,12.0,4.0,96,124
36,C#5,12.0,4.0,88,124
37,B-3,12.0,4.0,96,124
38,F4,12.0,4.0,104,124
39,B-3,16.0,2.0,96,124
40,F4,16.0,2.0,104,124
41,G#4,16.01,49/100,96,124
42,B-4,16.51,49/100,96,124
43,B4,17.01,49/100,96,124
44,C#5,17.51,49/100,96,124
45,E-5,18.01,149/100,104,124
46,C#4,18.01,199/100,76,124
47,C#3,18.01,199/100,76,124
48,G#3,18.51,149/100,80,124
49,E-4,19.01,99/100,88,124
50,C#5,19.51,49/100,104,124
51,E4,19.51,49/100,96,124
52,C#5,20.0,1.5,104,124
53,G#3,20.0,2.5,80,124
54,E-4,20.0,2.0,88,124
55,E4,20.0,2.5,96,124
56,C#4,20.0,2.0,76,124
57,C#3,20.0,2.0,76,124
58,B4,21.01,149/100,104,124
59,B-4,22.01,199/100,104,124
60,E-4,22.01,199/100,80,124
61,E-3,22.01,199/100,80,124
62,B-3,22.51,149/100,88,124
63,F4,23.01,99/100,88,124
64,F#4,23.51,49/100,104,124
65,F#4,24.0,2.0,104,124
66,B-4,24.0,1.5,104,124
67,B-3,24.0,2.0,88,124
68,F4,24.0,2.0,88,124
69,E-4,24.0,1.5,80,124
70,E-3,24.0,1.5,80,124
71,G#4,25.51,149/100,104,124
72,E4,25.51,249/100,84,124
73,E3,25.51,249/100,84,124
74,B4,26.51,149/100,88,124
75,B3,26.51,149/100,80,124
76,F#5,27.01,99/100,88,124
77,F#6,27.01,99/100,80,124
78,F#5,28.0,2.0,88,124
79,B4,28.0,2.5,88,124
80,F#6,28.0,3.0,80,124
81,B3,28.0,2.5,80,124
82,E4,28.0,1.5,84,124
83,E3,28.0,1.5,84,124
84,F#4,30.01,49/100,104,124
85,F#3,30.01,149/100,96,124
86,G#4,30.51,49/100,104,124
87,C#4,30.51,99/100,96,124
88,B-4,31.01,49/100,104,124
89,B4,31.51,49/100,104,124
90,F4,31.51,49/100,76,124
91,F3,31.51,49/100,76,124
92,F4,32.0,1.5,76,124
93,F3,32.0,1.5,76,124
94,B-4,32.01,49/100,104,124
95,E-4,32.01,49/100,96,124
96,B4,32.51,49/100,104,124
97,F4,32.51,99/100,96,124
98,C#5,33.01,49/100,104,124
99,E-5,33.51,149/100,104,124
100,E4,33.51,249/100,76,124
101,E3,33.51,249/100,76,124
102,B3,34.01,199/100,104,124
103,F#4,34.51,49/100,104,124
104,G#4,35.01,99/100,104,124
105,G#4,36.0,0.5,104,124
106,B3,36.0,1.5,104,124
107,E4,36.0,1.5,76,124
108,E3,36.0,1.5,76,124
109,B4,36.51,49/100,104,124
110,C#5,37.01,49/100,104,124
111,E-5,37.51,149/100,104,124
112,F#4,37.51,199/100,80,124
113,F#3,37.51,199/100,80,124
114,C#4,38.01,149/100,104,124
115,G#4,38.51,49/100,104,124
116,F#5,39.01,99/100,104,124
117,B-4,39.01,99/100,88,124
118,G4,39.51,49/100,80,124
119,G3,39.51,49/100,80,124
120,F#5,40.0,0.5,104,124
121,B-4,40.0,0.5,88,124
122,G4,40.0,1.5,80,124
123,G3,40.0,1.5,80,124
124,G#5,40.51,99/100,104,124
125,B4,40.51,99/100,104,124
126,C#5,41.51,149/100,104,124
127,B-4,41.51,149/100,104,124
128,G#4,41.51,249/100,80,124
129,G#3,41.51,249/100,80,124
130,E-4,42.01,199/100,96,124
131,G#4,42.51,149/100,96,124
132,B4,43.01,99/100,104,124
133,B4,44.0,2.0,104,124
134,E-4,44.0,2.0,96,124
135,G#4,44.0,2.5,96,124
136,G#4,44.0,1.5,80,124
137,G#3,44.0,1.5,80,124
138,G3,45.51,249/100,80,124
139,C#4,46.01,199/100,88,124
140,E-4,46.51,149/100,104,124
141,F#4,47.01,49/100,104,124
142,G#4,47.51,49/100,104,124
143,G#4,48.0,0.5,104,124
144,B-4,48.01,99/100,104,124
145,C#4,48.01,37/50,84,124
146,C#3,48.01,37/50,84,124
147,B4,48.51,99/100,112,124
148,G#3,48.76,37/50,84,124
149,G#2,48.76,37/50,84,124
150,C#5,49.01,49/100,112,124
151,E-5,49.51,149/100,112,124
152,C#2,49.51,249/100,88,124
153,C#3,49.51,249/100,88,124
154,C#3,50.51,99/100,72,124
155,C#4,50.51,99/100,72,124
156,C#5,51.01,99/100,112,124
157,G#3,51.51,49/100,88,124
158,G#4,51.51,49/100,88,124
159,C#5,52.0,0.5,112,124
160,C#2,52.0,1.5,88,124
161,C#3,52.0,1.5,88,124
162,G#3,52.0,1.5,88,124
163,G#4,52.0,1.5,88,124
164,B4,52.51,99/100,112,124
165,B-4,53.51,149/100,112,124
166,B1,53.51,249/100,88,124
167,B2,53.51,249/100,88,124
168,B2,54.51,99/100,72,124
169,B3,54.51,99/100,72,124
170,F#4,55.01,99/100,112,124
171,F#3,55.51,49/100,96,124
172,F#4,55.51,49/100,80,124
173,F#4,56.0,1.0,112,124
174,F#3,56.0,4.0,96,124
175,F#4,56.0,1.0,80,124
176,B1,56.0,1.0,88,124
177,B2,56.0,1.0,88,124
178,G#4,57.01,299/100,112,124
179,A1,57.01,299/100,72,124
180,A2,57.01,299/100,80,124
181,G#4,57.01,299/100,80,124
182,C#6,59.51,49/100,88,124
183,E5,59.51,49/100,88,124
184,G#4,60.0,3.5,112,124
185,A1,60.0,1.5,72,124
186,A2,60.0,2.0,80,124
187,F#3,60.0,2.5,96,124
188,G#4,60.0,1.0,80,124
189,C#6,60.0,4.0,88,124
190,E5,60.0,4.0,88,124
191,G#4,64.01,49/100,112,124
192,B3,64.01,49/100,64,124
193,B4,64.51,49/100,112,124
194,G#3,64.51,49/100,72,124
195,C#5,65.01,49/100,112,124
196,F#3,65.01,49/100,80,124
197,E-5,65.51,149/100,120,124
198,E3,65.51,149/100,96,124
199,E-4,65.51,149/100,80,124
200,G#3,66.01,49/100,96,124
201,B3,66.51,49/100,96,124
202,B3,67.01,99/100,96,124
203,E3,67.01,99/100,96,124
204,E-4,67.01,99/100,80,124
205,E4,67.073,927/1000,80,124
206,G#4,67.135,173/200,120,124
207,E4,68.0,0.5,80,124
208,E3,68.0,1.5,96,124
209,E-5,68.01,49/100,120,124
210,E-4,68.01,37/50,88,124
211,F#5,68.51,49/100,120,124
212,B3,68.76,37/50,88,124
213,E-5,69.01,49/100,120,124
214,F#4,69.51,149/100,80,124
215,B-3,69.51,149/100,92,124
216,F#3,69.51,149/100,92,124
217,C#5,70.01,49/100,120,124
218,C#4,70.01,49/100,96,124
219,F#5,70.51,49/100,120,124
220,E4,70.51,49/100,96,124
221,C#5,71.01,99/100,120,124
222,C#4,71.01,99/100,92,124
223,F#3,71.01,99/100,92,124
224,F#4,71.01,99/100,88,124
225,E4,71.01,99/100,88,124
226,C#4,72.0,0.5,92,124
227,F#3,72.0,0.5,92,124
228,F#4,72.0,0.5,88,124
229,E4,72.0,0.5,88,124
230,B4,72.01,49/100,120,124
231,B-4,72.51,49/100,120,124
232,F#3,72.51,99/100,96,124
233,C#4,72.76,37/50,88,124
234,B4,73.01,49/100,120,124
235,C#5,73.51,149/100,120,124
236,C#4,73.51,149/100,88,124
237,E-3,73.51,149/100,88,124
238,G3,74.01,49/100,96,124
239,B-3,74.51,49/100,96,124
240,E-4,75.01,99/100,88,124
241,B-3,75.01,99/100,96,124
242,E-3,75.01,99/100,88,124
243,E4,75.073,927/1000,120,124
244,B-3,76.0,0.5,96,124
245,E-3,76.0,0.5,88,124
246,C#5,76.01,49/100,120,124
247,F#5,76.51,49/100,120,124
248,B-3,76.51,99/100,96,124
249,E-3,76.51,99/100,88,124
250,B-4,77.01,49/100,120,124
251,C#5,77.51,149/100,120,124
252,G#2,77.51,99/100,88,124
253,C#4,77.51,149/100,112,124
254,F#2,78.51,49/100,88,124
255,B4,79.01,49/100,120,124
256,G#2,79.01,99/100,100,124
257,B3,79.01,99/100,100,124
258,G#2,80.0,0.5,100,124
259,B3,80.0,0.5,100,124
260,G#4,80.01,49/100,120,124
261,B4,80.51,49/100,120,124
262,F#2,80.51,99/100,96,124
263,C#4,80.51,99/100,96,124
264,C#5,81.01,49/100,120,124
265,E-5,81.51,149/100,120,124
266,E3,81.51,149/100,96,124
267,E4,81.51,149/100,88,124
268,E2,81.51,149/100,88,124
269,G#3,82.01,49/100,96,124
270,B3,82.51,49/100,96,124
271,G#4,83.01,99/100,120,124
272,E-4,83.01,49/100,96,124
273,E3,83.01,99/100,96,124
274,E4,83.01,99/100,88,124
275,E2,83.01,99/100,88,124
276,E-4,83.51,49/100,96,124
277,E3,84.0,1.5,96,124
278,E4,84.0,1.5,88,124
279,E2,84.0,1.5,88,124
280,E-5,84.01,49/100,120,124
281,B3,84.01,49/100,96,124
282,F#5,84.51,49/100,120,124
283,G#3,84.51,49/100,96,124
284,E-5,85.01,49/100,120,124
285,E-4,85.01,49/100,96,124
286,C#5,85.51,37/50,120,124
287,E-3,85.51,149/100,96,124
288,E-4,85.51,149/100,88,124
289,E-2,85.51,149/100,88,124
290,F#3,86.01,49/100,96,124
291,E-5,86.26,37/50,120,124
292,B-3,86.51,49/100,96,124
293,F#5,87.01,49/100,120,124
294,C#4,87.01,49/100,96,124
295,E-3,87.01,99/100,96,124
296,E-4,87.01,99/100,88,124
297,E-2,87.01,99/100,88,124
298,B-5,87.51,49/100,120,124
299,C#4,87.51,49/100,96,124
300,B-5,88.0,0.5,120,124
301,E-3,88.0,1.5,96,124
302,E-4,88.0,1.5,88,124
303,E-2,88.0,1.5,88,124
304,B-3,88.01,49/100,96,124
305,F#5,88.51,99/100,120,124
306,F#3,88.51,49/100,96,124
307,B-3,89.01,99/100,96,124
308,G#5,89.51,373/200,120,124
309,D4,89.51,149/100,88,124
310,D2,89.51,149/100,88,124
311,D3,89.51,149/100,96,124
312,C#5,89.51,149/100,96,124
313,A4,90.01,49/100,96,124
314,A3,90.01,49/100,64,124
315,F#4,90.51,49/100,96,124
316,F#3,90.51,49/100,64,124
317,C#5,91.01,49/100,96,124
318,C#4,91.01,49/100,64,124
319,D3,91.01,99/100,96,124
320,D4,91.01,99/100,88,124
321,D2,91.01,99/100,88,124
322,B-5,91.385,23/200,120,124
323,B5,91.51,49/100,120,124
324,C#5,91.51,49/100,96,124
325,C#4,91.51,49/100,64,124
326,B5,92.0,0.25,120,124
327,D3,92.0,1.5,96,124
328,D4,92.0,1.5,88,124
329,D2,92.0,1.5,88,124
330,A4,92.01,49/100,96,124
331,A3,92.01,49/100,64,124
332,B-5,92.26,37/50,120,124
333,F#4,92.51,49/100,96,124
334,F#3,92.51,49/100,64,124
335,F#5,93.01,49/100,120,124
336,C#5,93.01,99/100,96,124
337,C#4,93.01,49/100,64,124
338,E-5,93.51,99/100,120,124
339,C#4,93.51,149/100,88,124
340,C#2,93.51,149/100,88,124
341,C#3,93.51,149/100,96,124
342,B4,93.51,149/100,96,124
343,G#4,94.01,49/100,96,124
344,G#3,94.01,49/100,64,124
345,E4,94.51,49/100,96,124
346,E3,94.51,49/100,64,124
347,G#4,95.01,99/100,96,124
348,C#2,95.01,99/100,88,124
349,C#3,95.01,99/100,96,124
350,B4,95.01,99/100,96,124
351,C#4,95.01,99/100,92,124
352,G#3,95.01,99/100,92,124
353,G#4,96.0,1.5,96,124
354,C#2,96.0,1.75,88,124
355,C#3,96.0,1.5,96,124
356,B4,96.0,2.0,96,124
357,C#4,96.0,1.0,92,124
358,G#3,96.0,1.0,92,124
359,C#5,97.76,37/50,120,124
360,C#4,97.76,37/50,84,124
361,C#3,97.76,37/50,84,124
362,B4,98.51,37/50,120,124
363,B3,98.51,37/50,88,124
364,B2,98.51,37/50,88,124
365,B-4,99.26,37/50,120,124
366,B-3,99.26,37/50,92,124
367,B-2,99.26,37/50,92,124
368,G#4,100.01,99/100,120,124
369,G#3,100.01,37/50,96,124
370,C#2,100.01,99/100,88,124
371,C#3,100.01,6/25,96,124
372,E4,100.26,6/25,96,124
373,E3,100.26,49/100,96,124
374,C#4,100.51,6/25,96,124
375,C#3,100.51,49/100,96,124
376,G#4,100.76,6/25,96,124
377,G#3,100.76,6/25,96,124
378,E-5,101.01,99/100,120,124
379,B-4,101.01,6/25,96,124
380,B-3,101.01,37/50,96,124
381,E-2,101.01,99/100,88,124
382,E-3,101.01,6/25,96,124
383,F#4,101.26,6/25,96,124
384,F#3,101.26,49/100,96,124
385,E-4,101.51,6/25,96,124
386,E-3,101.51,49/100,96,124
387,B-4,101.76,6/25,96,124
388,B-3,101.76,6/25,96,124
389,G#5,102.01,99/100,120,124
390,B4,102.01,6/25,96,124
391,B3,102.01,37/50,96,124
392,E2,102.01,99/100,88,124
393,E3,102.01,6/25,96,124
394,G#4,102.26,6/25,96,124
395,G#3,102.26,49/100,96,124
396,E4,102.51,6/25,96,124
397,E3,102.51,49/100,96,124
398,B4,102.76,6/25,96,124
399,B3,102.76,6/25,96,124
400,E-6,103.01,99/100,120,124
401,C#5,103.01,6/25,96,124
402,C#4,103.01,37/50,96,124
403,F#2,103.01,99/100,88,124
404,F#3,103.01,6/25,96,124
405,B-4,103.26,6/25,96,124
406,B-3,103.26,49/100,96,124
407,F#4,103.51,6/25,96,124
408,F#3,103.51,49/100,96,124
409,C#5,103.76,6/25,96,124
410,C#4,103.76,6/25,96,124
411,E2,104.01,399/100,96,124
412,E3,104.01,99/100,104,124
413,G#4,105.01,99/100,104,124
414,E-4,105.01,99/100,104,124
415,B3,105.01,99/100,83,124
416,B2,105.01,99/100,83,124
417,G#4,105.01,99/100,83,124
418,F#5,106.01,99/100,120,124
419,F#5,106.01,99/100,88,124
420,B-3,106.01,49/100,80,124
421,B-2,106.01,49/100,80,124
422,G#4,106.51,99/100,104,124
423,E-4,106.51,99/100,104,124
424,B3,106.51,99/100,80,124
425,B2,106.51,99/100,80,124
426,E5,107.01,49/100,120,124
427,E5,107.01,49/100,88,124
428,E-5,107.51,49/100,120,124
429,E-5,107.51,49/100,88,124
430,B3,107.51,49/100,80,124
431,B2,107.51,49/100,80,124
432,E-5,108.0,1.0,120,124
433,E-5,108.0,1.0,88,124
434,F#2,108.01,399/100,96,124
435,F#3,108.01,99/100,64,124
436,C#5,109.01,99/100,88,124
437,C#5,109.01,99/100,109,124
438,G#4,109.01,99/100,109,124
439,E-4,109.01,99/100,109,124
440,B-3,109.01,49/100,80,124
441,B-2,109.01,49/100,80,124
442,C#4,109.51,99/100,80,124
443,C#3,109.51,99/100,80,124
